color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes,is_color,log_budget,log_gross,roi,review_ratio,votes_per_review,actor_lead_share,director_share,movie_age,imdb_binned
Color,Andrew Adamson,258,150,80,201,Pierfrancesco Favino,22000,141614023,Action|Adventure|Family|Fantasy,Peter Dinklage,149922,22697,Damián Alcázar,4,brother brother relationship|brother sister relationship|good versus evil|king|narnia,438,English,USA,PG,225000000,2008,216,2.35,0,1,19.23161096,18.76861577,-0.370602695,1.691119691,341.5079727,0.969248392,0.00352454,18,HIT
Color,Joss Whedon,703,173,0,19000,Robert Downey Jr.,26000,623279547,Action|Adventure|Sci-Fi,Chris Hemsworth,995415,87697,Scarlett Johansson,3,alien invasion|assassin|battle|iron man|soldier,1722,English,USA,PG-13,220000000,2012,21000,1.85,123000,1,19.20913811,20.25050569,1.833080518,2.446022727,577.7219965,0.296471983,0,14,HIT
Color,Rob Marshall,448,136,252,1000,Sam Claflin,40000,241063875,Action|Adventure|Fantasy,Johnny Depp,370704,54083,Stephen Graham,4,blackbeard|captain|pirate|revenge|soldier,484,English,USA,PG-13,250000000,2011,11000,2.35,58000,1,19.33697148,19.3005725,-0.035744357,1.077951002,764.3381443,0.739590267,0.004659419,15,HIT
Color,Barry Sonnenfeld,451,106,188,718,Michael Stuhlbarg,10000,179020854,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Will Smith,268154,12572,Nicole Scherzinger,1,alien|criminal|m.i.b.|maximum security prison|prison,341,English,USA,PG-13,225000000,2012,816,1.85,40000,1,19.23161096,19.00301287,-0.204350852,0.754424779,784.0760234,0.795355126,0.014952676,14,HIT
Color,Peter Jackson,422,164,0,773,Adam Brown,5000,255108370,Adventure|Fantasy,Aidan Turner,354228,9152,James Nesbitt,0,army|elf|hobbit|middle earth|orc,802,English,New Zealand,PG-13,250000000,2014,972,2.35,65000,1,19.33697148,19.357199,0.020433398,1.895981087,441.1307597,0.546268983,0,12,HIT
Color,Marc Webb,599,153,464,963,Andrew Garfield,15000,262030663,Action|Adventure|Fantasy,Emma Stone,451803,28489,Chris Zylka,0,lizard|outcast|spider|spider man|teenager,1225,English,USA,PG-13,230000000,2012,10000,2.35,56000,1,19.25358987,19.38397209,0.139263147,2.041666667,368.5179445,0.526500527,0.016286416,14,HIT
Color,Ridley Scott,343,156,0,738,William Hurt,891,105219735,Action|Adventure|Drama|History,Mark Addy,211765,3244,Scott Grimes,0,1190s|archer|england|king of england|robin hood,546,English,USA,PG-13,200000000,2010,882,2.35,17000,1,19.11382793,18.47156145,-0.473898956,1.587209302,387.1389397,0.274576271,0,16,HIT
Color,Peter Jackson,509,186,0,773,Adam Brown,5000,258355354,Adventure|Fantasy,Aidan Turner,483540,9152,James Nesbitt,6,dwarf|elf|lake town|mountain|sword and sorcery,951,English,USA,PG-13,225000000,2013,972,2.35,83000,1,19.23161096,19.36984654,0.148245359,1.864705882,507.9201681,0.546268983,0,13,HIT
Color,Chris Weitz,251,113,129,1000,Eva Green,16000,70083519,Adventure|Family|Fantasy,Christopher Lee,149019,24106,Kristin Scott Thomas,2,children|epic|friend|girl|quest,666,English,USA,PG-13,180000000,2007,6000,2.35,0,1,19.00846741,18.06519823,-0.610643724,2.642857143,223.4167916,0.663707637,0.005351143,19,HIT
Color,Peter Jackson,446,201,0,84,Thomas Kretschmann,6000,218051260,Action|Adventure|Drama|Romance,Naomi Watts,316018,7123,Evan Parke,0,animal name in title|ape abducts a woman|gorilla|island|king kong,2618,English,New Zealand,PG-13,207000000,2005,919,2.35,0,1,19.14822936,19.20024074,0.053387472,5.856823266,120.6636121,0.84222347,0,21,HIT
Color,James Cameron,315,194,0,794,Kate Winslet,29000,658672302,Drama|Romance,Leonardo DiCaprio,793059,45223,Gloria Stuart,0,artist|love|ship|titanic|wet,2528,English,USA,PG-13,200000000,1997,14000,2.35,26000,1,19.11382793,20.3057367,2.293350043,8,313.5860024,0.641252432,0,29,HIT
Color,Anthony Russo,516,147,94,11000,Scarlett Johansson,21000,407197282,Action|Adventure|Sci-Fi,Robert Downey Jr.,272670,64798,Chris Evans,0,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,1022,English,USA,PG-13,250000000,2016,19000,2.35,72000,1,19.33697148,19.82480835,0.628786613,1.976789168,266.5395894,0.324079075,0.00145064,10,HIT
Color,Peter Berg,377,131,532,627,Alexander Skarsgård,14000,65173160,Action|Adventure|Sci-Fi|Thriller,Liam Neeson,202382,26679,Tadanobu Asano,0,box office flop|hawaii|naval|oahu hawaii|ship,751,English,USA,PG-13,209000000,2012,10000,2.35,44000,1,19.15784481,17.9925583,-0.688163406,1.986772487,269.125,0.524737631,0.01994003,14,AVG
Color,Colin Trevorrow,644,124,365,1000,Judy Greer,3000,652177271,Action|Adventure|Sci-Fi|Thriller,Bryce Dallas Howard,418214,8458,Omar Sy,0,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,1290,English,USA,PG-13,150000000,2015,2000,2,150000,1,18.82614586,20.29582697,3.347826154,2,323.9457785,0.35465185,0.043149308,11,HIT
Color,Sam Mendes,750,143,0,393,Helen McCrory,883,304360277,Action|Adventure|Thriller,Albert Finney,522030,2039,Rory Kinnear,0,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,1498,English,UK,PG-13,200000000,2012,563,2.35,80000,1,19.11382793,19.53372268,0.521798776,1.994673768,348.2521681,0.432843137,0,14,HIT
Color,Sam Raimi,300,135,0,4000,James Franco,24000,373377893,Action|Adventure|Fantasy|Romance,J.K. Simmons,411164,43388,Kirsten Dunst,1,death|doctor|scientist|super villain|tentacle,1303,English,USA,PG-13,200000000,2004,11000,2.35,0,1,19.11382793,19.73810159,0.866885131,4.328903654,315.309816,0.553135587,0,22,HIT
Color,Shane Black,608,195,1000,3000,Jon Favreau,21000,408992272,Action|Adventure|Sci-Fi,Robert Downey Jr.,557489,30426,Don Cheadle,3,armor|explosion|human bomb|missile attack|terrorist,1187,English,USA,PG-13,200000000,2013,4000,2.35,95000,1,19.11382793,19.82920682,1.044956135,1.94909688,469.266835,0.690176488,0.032865547,13,HIT
Color,Tim Burton,451,108,13000,11000,Alan Rickman,40000,334185206,Adventure|Family|Fantasy,Johnny Depp,306320,79957,Anne Hathaway,0,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,736,English,USA,PG,200000000,2010,25000,1.85,24000,1,19.11382793,19.62720591,0.670922675,1.628318584,415.6309362,0.500262638,0.162585357,16,HIT
Color,Brett Ratner,334,104,420,560,Kelsey Grammer,20000,234360014,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,383427,21714,Daniel Cudmore,0,battle|mutant|outrage|walking through a wall|x men,1912,English,Canada,PG-13,210000000,2006,808,2.35,0,1,19.16261809,19.27236902,0.115999514,5.707462687,200.4323053,0.921022335,0.019341469,20,HIT
Color,Dan Scanlon,376,104,37,760,Tyler Labine,12000,268488329,Adventure|Animation|Comedy|Family|Fantasy,Steve Buscemi,235025,14863,Sean Hayes,0,cheating|fraternity|monster|singing in a car|university,265,English,USA,G,200000000,2013,779,1.85,44000,1,19.11382793,19.40831801,0.342439933,0.702917772,883.5526316,0.807319699,0.002489236,13,HIT
Color,Michael Bay,366,150,0,464,Kevin Dunn,894,402076689,Action|Adventure|Sci-Fi,Glenn Morshower,323207,3218,Ramon Rodriguez,0,autobot|decepticon|machine|sun|symbol,1439,English,USA,PG-13,200000000,2009,581,2.35,0,1,19.11382793,19.8121534,1.010378393,3.920980926,224.4493056,0.277726002,0,17,AVG
Color,Michael Bay,378,165,0,808,Sophia Myles,974,245428137,Action|Adventure|Sci-Fi,Bingbing Li,242420,3988,Kelsey Grammer,2,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,918,English,USA,PG-13,210000000,2014,956,2.35,56000,1,19.16261809,19.31851475,0.168704611,2.422163588,263.7867247,0.244171472,0,12,AVG
Color,Sam Raimi,525,130,0,11000,Mila Kunis,44000,234903076,Adventure|Family|Fantasy,Tim Holmes,175409,73441,James Franco,4,circus|magic|magician|oz|witch,511,English,USA,PG,215000000,2013,15000,2.35,60000,1,19.18614859,19.27468355,0.092572016,0.97148289,342.5957031,0.599112225,0,13,HIT
Color,Marc Webb,495,142,464,825,Andrew Garfield,15000,202853933,Action|Adventure|Fantasy|Sci-Fi,Emma Stone,321227,28631,B.J. Novak,0,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,1067,English,USA,PG-13,200000000,2014,10000,2.35,41000,1,19.11382793,19.12799674,0.014269594,2.151209677,300.7743446,0.523889355,0.016205644,12,HIT
Color,Joseph Kosinski,469,125,364,1000,Olivia Wilde,12000,172051787,Action|Adventure|Sci-Fi,Jeff Bridges,264183,25550,James Frain,0,arcade|bridge|disappearance|escape|warrior,665,English,USA,PG,170000000,2010,10000,2.35,30000,1,18.951309,18.96330608,0.012069264,1.414893617,396.6711712,0.469648937,0.014246018,16,HIT
Color,John Lasseter,304,106,487,776,Thomas Kretschmann,1000,191450875,Adventure|Animation|Comedy|Family|Sport,Joe Mantegna,101178,4482,Eddie Izzard,0,best friend|car race|conspiracy|gadget car|spy,283,English,USA,G,200000000,2011,919,2.35,10000,1,19.11382793,19.07014181,-0.042745411,0.927868852,356.2605634,0.223064912,0.108632612,15,HIT
Color,Martin Campbell,436,123,258,326,Temuera Morrison,16000,116593191,Action|Adventure|Sci-Fi,Ryan Reynolds,223393,17657,Taika Waititi,2,autopsy|lantern|planet|ring|test pilot,550,English,USA,PG-13,200000000,2011,368,2.35,24000,1,19.11382793,18.57420144,-0.41703196,1.258581236,405.4319419,0.906104882,0.014610941,15,AVG
Color,Lee Unkrich,453,103,125,721,John Ratzenberger,15000,414984497,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,544884,19085,Don Rickles,3,college|day care|escape|teddy bear|toy,733,English,USA,G,200000000,2010,1000,1.85,30000,1,19.11382793,19.84375172,1.07491711,1.614537445,742.3487738,0.785916378,0.006549303,16,HIT
Color,McG,422,118,368,988,Bryce Dallas Howard,23000,125320003,Action|Adventure|Sci-Fi,Christian Bale,286095,27468,Common,0,death row|future|machine|rescue|skynet,974,English,USA,PG-13,200000000,2009,3000,2.35,0,1,19.11382793,18.64638106,-0.373398118,2.302600473,293.4307692,0.83730751,0.01339692,17,HIT
Color,James Wan,424,140,0,14000,Paul Walker,26000,350034110,Action|Crime|Thriller,Jason Statham,278232,79150,Vin Diesel,0,car falling off a cliff|hospital|revenge|star died before release|terrorist,657,English,USA,PG-13,190000000,2015,23000,2.35,94000,1,19.06253464,19.67354117,0.842280356,1.545882353,422.8449848,0.328486058,0,11,HIT
Color,Marc Forster,654,123,395,1000,Brad Pitt,17000,202351611,Action|Adventure|Horror|Sci-Fi|Thriller,Peter Capaldi,465019,32392,Mireille Enos,0,chaos|disease|infection|pandemic|zombie,995,English,USA,PG-13,190000000,2013,11000,2.35,129000,1,19.06253464,19.1255174,0.065008137,1.519083969,466.8865462,0.524804742,0.012193993,13,HIT
Color,Bryan Singer,539,149,0,20000,Peter Dinklage,34000,233914986,Action|Adventure|Fantasy|Sci-Fi|Thriller,Jennifer Lawrence,514125,91434,Hugh Jackman,7,dystopia|super strength|supernatural power|time paradox|time travel,752,English,USA,PG-13,200000000,2014,22000,2.35,82000,1,19.11382793,19.2704683,0.169574082,1.392592593,682.7689243,0.371848854,0,12,HIT
Color,J.J. Abrams,590,132,14000,928,Bruce Greenwood,19000,228756232,Action|Adventure|Sci-Fi,Benedict Cumberbatch,395573,21411,Noel Clarke,0,admiral|captain|manhunt|mission|space,1171,English,USA,PG-13,190000000,2013,981,2.35,92000,1,19.06253464,19.24816751,0.203979095,1.981387479,337.5196246,0.887352886,0.653838969,13,HIT
Color,Bryan Singer,338,114,0,140,Ewen Bremner,979,65171860,Adventure|Fantasy,Eddie Marsan,106416,1766,Ralph Brown,1,bean|giant|king|no opening credits|princess,205,English,USA,PG-13,195000000,2013,557,2.35,22000,1,19.08851012,17.99253835,-0.665781919,0.604719764,516.5825243,0.554046406,0,13,HIT
Color,Baz Luhrmann,490,143,1000,77,Elizabeth Debicki,29000,144812796,Drama|Romance,Leonardo DiCaprio,362912,29770,Steve Bisley,4,ingratitude|mansion|party|title appears in writing|tragedy,753,English,Australia,PG-13,105000000,2013,509,2.35,115000,1,18.46947092,18.79095241,0.379165875,1.533604888,481.3156499,0.974102314,0.033589735,13,HIT
Color,Mike Newell,306,116,179,236,Richard Coyle,15000,90755643,Action|Adventure|Fantasy|Romance,Jake Gyllenhaal,222403,16149,Reece Ritchie,2,alamut|dagger|king|persia|princess,453,English,USA,PG-13,200000000,2010,567,2.35,23000,1,19.11382793,18.32368122,-0.546219054,1.475570033,489.8744493,0.92879257,0.011083591,16,HIT
Color,Guillermo del Toro,575,131,0,919,Clifton Collins Jr.,16000,101785482,Action|Adventure|Sci-Fi,Charlie Hunnam,381148,19166,Larry Joe Campbell,0,giant monster|kaiju|pilot|portal|robot,1106,English,USA,PG-13,190000000,2013,968,1.85,83000,1,19.06253464,18.43837805,-0.464284493,1.920138889,344.3071364,0.834768091,0,13,HIT
Color,Michael Bay,428,154,0,581,Lester Speight,894,352358779,Action|Adventure|Sci-Fi,Glenn Morshower,326180,2593,Kevin Dunn,2,autobot|decepticon|job interview|moon|spacecraft,899,English,USA,PG-13,195000000,2011,829,2.35,46000,1,19.08851012,19.68016048,0.806963959,2.095571096,362.4222222,0.34464148,0,15,HIT
Color,Steven Spielberg,470,122,14000,1000,Ray Winstone,11000,317011114,Action|Adventure|Fantasy,Harrison Ford,333847,14959,Jim Broadbent,2,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,2054,English,USA,PG-13,185000000,2008,1000,2.35,5000,1,19.03586639,19.57444739,0.713569732,4.360934183,162.4559611,0.735294118,0.935828877,18,HIT
Color,Peter Sohn,298,93,113,113,Jack McGraw,275,123070338,Adventure|Animation|Comedy|Family|Fantasy,A.J. Buckley,62836,696,Peter Sohn,0,apatosaurus|asteroid|dinosaur|fear|river,345,English,USA,PG,20000000,2015,150,2.35,20000,1,16.81124288,18.62826661,5.153259237,1.153846154,181.6069364,0.394548063,0.162123386,11,HIT
Color,Mark Andrews,488,93,56,838,John Ratzenberger,2000,237282182,Adventure|Animation|Comedy|Family|Fantasy,Kelly Macdonald,273556,5005,Julie Walters,0,archery|coming of age|female warrior|princess|rebellious daughter,428,English,USA,PG,185000000,2012,1000,2.35,39000,1,19.03586639,19.28476064,0.282604862,0.875255624,637.6596737,0.399520575,0.011186576,14,HIT
Color,Justin Lin,322,122,681,105,Melissa Roxburgh,998,130468626,Action|Adventure|Sci-Fi|Thriller,Sofia Boutella,53607,1327,Lydia Wilson,4,hatred|sequel|space opera|star trek|third part,432,English,USA,PG-13,185000000,2016,119,2.35,30000,1,19.03586639,18.68664335,-0.29476259,1.3374613,123.8036952,0.751506024,0.512801205,10,HIT
Color,Andrew Stanton,421,98,475,522,Fred Willard,1000,223806889,Adventure|Animation|Family|Sci-Fi,John Ratzenberger,718837,2975,Jeff Garlin,0,earth|obesity|plant|robot|soil,1043,English,USA,G,180000000,2008,729,2.35,16000,1,19.00846741,19.22629414,0.243370253,2.471563981,688.5411877,0.336021505,0.159610215,18,HIT
Color,Brett Ratner,162,91,420,173,Dana Ivey,268,140080850,Action|Comedy|Crime|Thriller,Tzi Ma,121084,1125,Noémie Lenoir,2,ambassador|assassination|chinese|french|triad,221,English,USA,PG-13,140000000,2007,268,2.35,0,1,18.75715299,18.75773032,0.000577496,1.355828221,545.4234234,0.238010657,0.373001776,19,HIT
Color,Roland Emmerich,367,158,776,310,Liam James,1000,166112167,Action|Adventure|Sci-Fi,Oliver Platt,283418,2144,Tom McCarthy,0,ark|catastrophe|geologist|president|writer,1055,English,USA,PG-13,200000000,2009,468,2.35,13000,1,19.11382793,18.92817383,-0.169438318,2.866847826,268.3882576,0.466200466,0.361771562,17,AVG
Color,Robert Zemeckis,240,96,0,10000,Colin Firth,18000,137850096,Animation|Drama|Family|Fantasy,Robin Wright,72809,48878,Gary Oldman,0,charles dickens|christmas|christmas eve|ghost|scrooge,249,English,USA,PG,200000000,2009,14000,2.35,0,1,19.11382793,18.7416774,-0.310747966,1.033195021,291.236,0.368256306,0,17,HIT
Color,Lana Wachowski,384,127,0,13000,Mila Kunis,17000,47375327,Action|Adventure|Sci-Fi,Channing Tatum,139593,47334,Eddie Redmayne,1,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,720,English,USA,PG-13,176000000,2015,15000,2.35,44000,1,18.98599456,17.67361214,-0.730817853,1.87012987,193.6102635,0.359142284,0,11,AVG
Color,David Yates,248,110,282,103,Alexander Skarsgård,11000,124051759,Action|Adventure|Drama|Romance,Christoph Waltz,42372,21175,Casper Crump,2,africa|capture|jungle|male objectification|tarzan,239,English,USA,PG-13,180000000,2016,10000,2.35,29000,1,19.00846741,18.63620946,-0.310821834,0.959839357,176.55,0.519455988,0.013316963,10,HIT
Color,Andrew Adamson,284,150,80,82,Kiran Shah,1000,291709845,Adventure|Family|Fantasy,Jim Broadbent,286506,1317,Shane Rangi,5,hide and seek|lion|magic|professor|snow,1463,English,USA,PG,180000000,2005,190,2.35,0,1,19.00846741,19.49127019,0.620606802,5.133333333,195.7008197,0.758725341,0.060698027,21,HIT
Color,Bryan Singer,396,144,0,1000,Michael Fassbender,34000,154985087,Action|Adventure|Sci-Fi,Jennifer Lawrence,148379,49684,Tye Sheridan,6,mutant|superhero|superhero team|x men|year 1983,622,English,USA,PG-13,178000000,2016,13000,2.35,54000,1,18.99729411,18.85883946,-0.129296538,1.56675063,238.1685393,0.68431116,0,10,HIT
Color,Christopher Nolan,645,152,22000,11000,Heath Ledger,23000,533316061,Action|Crime|Drama|Thriller,Christian Bale,1676169,57802,Morgan Freeman,0,based on comic book|dc comics|psychopath|star died before release|urban setting,4667,English,USA,PG-13,185000000,2008,13000,2.35,37000,1,19.03586639,20.09462479,1.882779342,7.224458204,359.0764781,0.397903223,0.380603083,18,HIT
Color,Pete Docter,408,96,0,262,Delroy Lindo,1000,292979556,Adventure|Animation|Comedy|Family,John Ratzenberger,665575,2635,Jess Harnell,1,balloon|house|promise|retirement|skeleton,704,English,USA,PG,175000000,2009,848,1.85,27000,1,18.98029654,19.49561339,0.674165039,1.721271394,944.0780142,0.379362671,0,17,HIT
Color,Rob Letterman,219,94,11,459,Rainn Wilson,1000,198332128,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Amy Poehler,114553,2579,Stephen Colbert,2,alien|alien invasion|alien space craft|giant|giantess,187,English,USA,PG,175000000,2009,973,2.35,0,1,18.98029654,19.1054536,0.133325684,0.85,609.3244681,0.387596899,0.004263566,17,HIT
Color,Jon Favreau,486,126,4000,4000,Jeff Bridges,21000,318298180,Action|Adventure|Sci-Fi,Robert Downey Jr.,696338,39252,Jon Favreau,3,afghanistan|billionaire|inventor|playboy|u.s. air force,1055,English,USA,PG-13,140000000,2008,12000,2.35,10000,1,18.75715299,19.57849918,1.273549332,2.166324435,659.4109848,0.534990956,0.101903039,18,HIT
Color,Martin Scorsese,682,126,17000,1000,Christopher Lee,17000,73820094,Adventure|Drama|Family|Mystery,Chloë Grace Moretz,245333,36017,Ray Winstone,0,automaton|mechanical|railway station|steampunk|train,678,English,USA,PG,170000000,2011,16000,1.85,42000,1,18.951309,18.11714154,-0.565760825,0.992679356,361.3151694,0.471986229,0.471986229,15,HIT
Color,Barry Sonnenfeld,85,106,188,582,Salma Hayek,10000,113745408,Action|Comedy|Sci-Fi|Western,Will Smith,129601,15870,Bai Ling,2,buddy movie|general|inventor|steampunk|utah,648,English,USA,PG-13,170000000,1999,4000,1.85,0,1,18.951309,18.54947325,-0.330907418,7.534883721,199.6933744,0.63008002,0.011845504,27,AVG
Color,Rob Cohen,264,112,357,595,Brendan Fraser,5000,102176165,Action|Adventure|Fantasy|Horror|Thriller,Jet Li,117927,9131,Russell Wong,2,army|china|emperor|mummy|shangri la,501,English,USA,PG-13,145000000,2008,3000,2.35,0,1,18.79224431,18.442209,-0.295334756,1.890566038,234.9143426,0.547525186,0.039093298,18,AVG
Color,David Ayer,418,123,452,329,Robin Atkin Downes,10000,161087183,Action|Adventure|Comedy|Sci-Fi,Will Smith,118992,11287,Ike Barinholtz,8,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,971,English,USA,PG-13,175000000,2016,336,2.35,80000,1,18.98029654,18.89745629,-0.079501357,2.317422434,122.4197531,0.885896527,0.040042523,10,HIT
Color,Tom Shadyac,186,96,293,7000,Morgan Freeman,87000,100289690,Comedy|Family|Fantasy,Jimmy Bennett,115099,108016,Steve Carell,0,ark|change|congressman|depiction of god|flood,257,English,USA,PG,175000000,2007,11000,2.35,2000,1,18.98029654,18.42357347,-0.426913618,1.374331551,446.120155,0.805428775,0.002712536,19,AVG
Color,Doug Liman,585,113,218,509,Lara Pulver,10000,100189501,Action|Adventure|Sci-Fi,Tom Cruise,431620,12652,Noah Taylor,1,alien|combat|dying repeatedly|end of the world|time loop,741,English,USA,PG-13,178000000,2014,854,2.35,77000,1,18.99729411,18.42257397,-0.437135179,1.264505119,581.6981132,0.790326405,0.017229116,12,HIT
Color,Kevin Reynolds,91,176,58,60,Rick Aviles,711,88246220,Action|Adventure|Sci-Fi|Thriller,Jeanne Tripplehorn,144337,1004,Zakes Mokae,0,future|sail|sea|smoker|water,309,English,USA,PG-13,175000000,1995,60,1.85,0,1,18.98029654,18.29564143,-0.495733053,3.358695652,465.6032258,0.707462687,0.057711443,31,HIT
